filename, number_of_jobs, number_of_machines, algorithm, use_best_improvement, initial_state, neighbour_function, random_seed, neighbour_vector, execution_time.ms, result
100_20_29, 100, 20, ii, 0, random, e, 251400, tei, 78922, 2028801
100_20_29, 100, 20, ii, 0, random, i, 251400, tei, 186265, 2026839
100_20_29, 100, 20, ii, 0, rz, t, 251400, tei, 35, 2086646
100_20_29, 100, 20, ii, 0, rz, e, 251400, tei, 7019, 2059206
100_20_29, 100, 20, ii, 0, rz, i, 251400, tei, 22655, 2031565
100_20_29, 100, 20, ii, 1, random, t, 251400, tei, 455, 2655844
100_20_29, 100, 20, ii, 1, random, e, 251400, tei, 20157, 2085537
100_20_29, 100, 20, ii, 1, random, i, 251400, tei, 43825, 2099398
100_20_29, 100, 20, ii, 1, rz, t, 251400, tei, 54, 2088428
100_20_29, 100, 20, ii, 1, rz, e, 251400, tei, 3834, 2077695
100_20_29, 100, 20, ii, 1, rz, i, 251400, tei, 10019, 2063390
100_20_30, 100, 20, ii, 0, random, t, 831110, tei, 341, 2497377
100_20_30, 100, 20, ii, 0, random, e, 831110, tei, 108086, 1795793
100_20_30, 100, 20, ii, 0, random, i, 831110, tei, 286066, 1807695
100_20_30, 100, 20, ii, 0, rz, t, 831110, tei, 11, 1840390
100_20_30, 100, 20, ii, 0, rz, e, 831110, tei, 4889, 1828517
100_20_30, 100, 20, ii, 0, rz, i, 831110, tei, 13220, 1800993
100_20_30, 100, 20, ii, 1, random, t, 831110, tei, 467, 2524206
100_20_30, 100, 20, ii, 1, random, e, 831110, tei, 23331, 1877466
100_20_30, 100, 20, ii, 1, random, i, 831110, tei, 60388, 1857065
100_20_30, 100, 20, ii, 1, rz, t, 831110, tei, 11, 1840390
100_20_30, 100, 20, ii, 1, rz, e, 831110, tei, 5470, 1832161
100_20_30, 100, 20, ii, 1, rz, i, 831110, tei, 13878, 1818074
50_20_01, 50, 20, ii, 0, random, t, 879567, tei, 38, 780181
50_20_01, 50, 20, ii, 0, random, e, 879567, tei, 3925, 607244
50_20_01, 50, 20, ii, 0, random, i, 879567, tei, 6794, 604004
50_20_01, 50, 20, ii, 0, rz, t, 879567, tei, 2, 616002
50_20_01, 50, 20, ii, 0, rz, e, 879567, tei, 40, 616002
50_20_01, 50, 20, ii, 0, rz, i, 879567, tei, 950, 607386
50_20_01, 50, 20, ii, 1, random, t, 879567, tei, 64, 774805
50_20_01, 50, 20, ii, 1, random, e, 879567, tei, 1347, 625318
50_20_01, 50, 20, ii, 1, random, i, 879567, tei, 3874, 609371
50_20_01, 50, 20, ii, 1, rz, t, 879567, tei, 1, 616002
50_20_01, 50, 20, ii, 1, rz, e, 879567, tei, 37, 616002
50_20_01, 50, 20, ii, 1, rz, i, 879567, tei, 773, 611917
50_20_02, 50, 20, ii, 0, random, t, 129925, tei, 27, 872197
50_20_02, 50, 20, ii, 0, random, e, 129925, tei, 5685, 630176
50_20_02, 50, 20, ii, 0, random, i, 129925, tei, 13587, 639016
50_20_02, 50, 20, ii, 0, rz, t, 129925, tei, 4, 650578
50_20_02, 50, 20, ii, 0, rz, e, 129925, tei, 439, 636519
50_20_02, 50, 20, ii, 0, rz, i, 129925, tei, 2105, 632336
50_20_02, 50, 20, ii, 1, random, t, 129925, tei, 49, 872583
50_20_02, 50, 20, ii, 1, random, e, 129925, tei, 1528, 644161
50_20_02, 50, 20, ii, 1, random, i, 129925, tei, 3056, 651431
50_20_02, 50, 20, ii, 1, rz, t, 129925, tei, 4, 650578
50_20_02, 50, 20, ii, 1, rz, e, 129925, tei, 381, 638708
50_20_02, 50, 20, ii, 1, rz, i, 129925, tei, 1319, 634393
50_20_03, 50, 20, ii, 0, random, t, 137391, tei, 83, 802629
50_20_03, 50, 20, ii, 0, random, e, 137391, tei, 4783, 600464
50_20_03, 50, 20, ii, 0, random, i, 137391, tei, 13955, 600421
50_20_03, 50, 20, ii, 0, rz, t, 137391, tei, 1, 613349
50_20_03, 50, 20, ii, 0, rz, e, 137391, tei, 42, 613349
50_20_03, 50, 20, ii, 0, rz, i, 137391, tei, 1122, 603315
50_20_03, 50, 20, ii, 1, random, t, 137391, tei, 37, 808750
50_20_03, 50, 20, ii, 1, random, e, 137391, tei, 1735, 613541
50_20_03, 50, 20, ii, 1, random, i, 137391, tei, 3920, 601014
50_20_03, 50, 20, ii, 1, rz, t, 137391, tei, 1, 613349
50_20_03, 50, 20, ii, 1, rz, e, 137391, tei, 39, 613349
50_20_03, 50, 20, ii, 1, rz, i, 137391, tei, 703, 608764
50_20_04, 50, 20, ii, 0, random, t, 575045, tei, 48, 1006027
50_20_04, 50, 20, ii, 0, random, e, 575045, tei, 5133, 679579
50_20_04, 50, 20, ii, 0, random, i, 575045, tei, 14591, 673126
50_20_04, 50, 20, ii, 0, rz, t, 575045, tei, 3, 683331
50_20_04, 50, 20, ii, 0, rz, e, 575045, tei, 230, 686236
50_20_04, 50, 20, ii, 0, rz, i, 575045, tei, 598, 675472
50_20_04, 50, 20, ii, 1, random, t, 575045, tei, 50, 1017284
50_20_04, 50, 20, ii, 1, random, e, 575045, tei, 1470, 706858
